measure_date,rainfall,temperature,humidity,precipitation_type,loc_id
2020-01-08 06:00:00,0.0,3.0,89.0,0.0,1
2020-01-08 07:00:00,0.0,2.7,90.0,0.0,1
2020-01-08 08:00:00,0.0,2.5,88.0,0.0,1
2020-01-08 09:00:00,0.0,2.3,85.0,0.0,1
2020-01-08 10:00:00,0.0,2.2,78.0,0.0,1
2020-01-08 11:00:00,0.0,2.0,81.0,0.0,1
2020-01-08 12:00:00,0.0,2.0,78.0,0.0,1
2020-01-08 13:00:00,0.0,1.8,76.0,0.0,1
2020-01-08 14:00:00,0.0,1.5,74.0,0.0,1
2020-01-08 15:00:00,0.0,1.2,74.0,0.0,1
2020-01-08 16:00:00,0.0,1.2,73.0,0.0,1
2020-01-08 17:00:00,0.0,0.0,84.0,0.0,1
2020-01-08 18:00:00,0.0,-0.1,83.0,0.0,1
2020-01-08 19:00:00,0.0,0.1,78.0,0.0,1
2020-01-08 20:00:00,0.0,-0.3,83.0,0.0,1
2020-01-08 21:00:00,0.0,-0.5,82.0,0.0,1
2020-01-08 22:00:00,0.0,-0.5,80.0,0.0,1
2020-01-08 23:00:00,0.0,0.1,77.0,0.0,1
2020-01-09 00:00:00,0.0,0.9,73.0,0.0,1
2020-01-09 01:00:00,0.0,1.1,73.0,0.0,1
2020-01-09 02:00:00,0.0,2.2,68.0,0.0,1
2020-01-09 03:00:00,0.0,1.6,72.0,0.0,1
2020-01-09 04:00:00,0.0,1.5,69.0,0.0,1
2020-01-09 05:00:00,0.0,1.6,68.0,0.0,1
2020-01-09 06:00:00,0.0,0.9,72.0,0.0,1
2020-01-09 07:00:00,0.0,0.3,73.0,0.0,1
2020-01-09 08:00:00,0.0,-1.1,84.0,0.0,1
2020-01-09 09:00:00,0.0,-1.8,87.0,0.0,1
2020-01-09 10:00:00,0.0,-2.1,87.0,0.0,1
2020-01-09 11:00:00,0.0,-1.9,89.0,0.0,1
2020-01-09 12:00:00,0.0,-2.3,90.0,0.0,1
2020-01-09 13:00:00,0.0,-2.9,92.0,0.0,1
2020-01-09 14:00:00,0.0,-3.4,95.0,0.0,1
2020-01-09 15:00:00,0.0,-3.9,95.0,0.0,1
2020-01-09 16:00:00,0.0,-3.8,95.0,0.0,1
2020-01-09 17:00:00,0.0,-4.1,96.0,0.0,1
2020-01-09 18:00:00,0.0,-4.1,97.0,0.0,1
2020-01-09 19:00:00,0.0,-4.4,97.0,0.0,1
2020-01-09 20:00:00,0.0,-4.4,97.0,0.0,1
2020-01-09 21:00:00,0.0,-4.6,96.0,0.0,1
2020-01-09 22:00:00,0.0,-4.5,95.0,0.0,1
2020-01-09 23:00:00,0.0,-2.8,94.0,0.0,1
2020-01-10 00:00:00,0.0,-0.8,83.0,0.0,1
2020-01-10 01:00:00,0.0,1.0,73.0,0.0,1
2020-01-10 02:00:00,0.0,2.5,68.0,0.0,1
2020-01-10 03:00:00,0.0,2.9,67.0,0.0,1
2020-01-10 04:00:00,0.0,3.9,67.0,0.0,1
2020-01-10 05:00:00,0.0,3.6,47.0,0.0,1
2020-01-10 06:00:00,0.0,3.3,53.0,0.0,1
2020-01-10 07:00:00,0.0,2.1,62.0,0.0,1
2020-01-10 08:00:00,0.0,-0.3,74.0,0.0,1
2020-01-10 09:00:00,0.0,-0.6,80.0,0.0,1
2020-01-10 10:00:00,0.0,-0.8,80.0,0.0,1
